Embalse,Agua embalsada (08-04-2024):hm3,Variacion semana Anterior:hm3,Capacidad:hm3,Misma Semana (2023):hm3,Misma Semana (Med. 10 Años):hm3,Cuenca:,Provincia:,Municipio Presa:,Rio:,Tipo de Presa:,Año de construccion (Final):,Superficie:,Localizacion:,Abastecimiento:,Riego:,Electricidad:,Industrial:,Pesca:,Navegación:,Baño:,Pic-nic:,Restaurantes:,Pluviometros,Longitud,Latitud
el-batan,0,0,0,0,0,Tajo,Madrid,SAN LORENZO DEL ESCORIAL,BATAN,Gravedad,1963,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Robledo de Chavela', 'Valdemorillo']",-4.1617103649679,40.580151108081
el-boqueron,0,0,0,0,0,Tajo,Caceres,RIOLOBOS,BOQUERON,Gravedad,1983,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Serradilla', 'Cañaveral', 'Montehermoso', 'Plasencia', 'Coria']",-6.269330978393555,39.91546381028652
el-bronco,0,0,1,0,0,Tajo,Caceres,SANTA CRUZ DE PANIAGUA,BRONCO,Gravedad,1977,16.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Nuñomoral', 'Guijo de Granadilla', 'Montehermoso', 'Plasencia', 'Torrecilla de los Angeles']",-6.3147210918501,40.23230153072
el-corono,0,0,0,0,0,Tajo,Caceres,PASARON DE LA VERA,ARROYO GODINO,Materiales sueltos homogenea,1971,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navalmoral de la Mata', 'Garganta de la Olla', 'Hervás', 'Tornavacas', 'Piornal']",-5.8034248703115,40.038984104694
el-embocador,0,0,0,0,0,Tajo,Madrid,ARANJUEZ,TAJO,Gravedad,1530,8.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Ocaña', 'Aranjuez', 'Arganda del Rey', 'Tielmes', 'Tembleque']",-3.545766,40.046096
el-fresno,0,0,0,0,0,Tajo,Guadalajara,GUADALAJARA,CANTALOBOS,Gravedad,1977,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Pantano el Vado', 'Madrid Aeropuerto', 'Madrid - Barajas', 'Guadalajara', 'Alcala de Henares']",-3.2528943715918,40.746792491292
el-pajarero,0,0,1,0,0,Tajo,Avila,SANTA MARIA DEL TIETAR,PAJARERO,Gravedad,1989,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Rozas de Puerto Real', 'Cebreros', 'Robledo de Chavela', 'Castillo de Bayuela', 'Sotillo de la Adrada']",-4.561042785644531,40.31225783181274
el-piornal,0,0,0,0,0,Tajo,Caceres,PIORNAL,BURGUILLO,Gravedad,1983,1.98 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['La Covatilla', 'Garganta de la Olla', 'Hervás', 'Tornavacas', 'Piornal']",-5.7978058347879,40.153609211483
el-romeral,0,0,0,0,0,Tajo,Madrid,SAN LORENZO DE EL ESCORIAL,ROMERAL,Gravedad,1928,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Robledo de Chavela', 'Valdemorillo']",-4.1544441241213,40.597340299303
el-tobar,0,0,1,0,0,Tajo,Madrid,SANTA MARIA DE LA ALAMEDA,TOBAR,Gravedad,1959,7.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Robledo de Chavela', 'Valdemorillo']",-4.1897635749459,40.609683922404
el-valle-de-los-caidos,0,0,0,0,0,Tajo,Madrid,SAN LORENZO DEL ESCORIAL,BOQUERON,Gravedad,1972,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto de Navacerrada', 'San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo']",-4.1581430999869,40.637030990999
estremera,0,0,1,0,0,Tajo,Guadalajara,"DRIEBES, LEGANIEL",TAJO,Contrafuertes,1950,28.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Pastrana', 'Tarancón', 'Alcala de Henares', 'Tielmes', 'Alcázar del Rey']",-3.0056402318893,40.20580515577
fresnera,0,0,2,0,0,Tajo,Caceres,TORIL,FRESNERA,Materiales sueltos homogenea,1977,44.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Garganta de la Olla', 'Serradilla', 'Jaraicejo', 'Piornal', 'Plasencia']",-5.8751668072151,39.899855034459
garcia-caceres,0,0,1,0,0,Tajo,Caceres,VILLA DEL REY,AYO. DEL NOQUE,Gravedad y Contrafuertes,1794,16.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cañaveral', 'Coria', 'Zarza La Mayor', 'Aliseda', 'Brozas']",-6.791353225708008,39.65645604812829
garciaz,0,0,0,0,0,Tajo,Caceres,GARCIAZ,GARCIAZ,Gravedad,1994,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Trujillo', 'Trujillo', 'Guadalupe', 'Cañamero', 'Zorita']",-5.604250431060791,39.39743582081175
garganta-de-la-oliva,0,0,0,0,0,Tajo,Caceres,OLIVA DE PLASENCIA,OLIVA (Garganta de la Oliva),Gravedad,1977,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Garganta de la Olla', 'Guijo de Granadilla', 'Hervás', 'Piornal', 'Plasencia']",-6.0428362615024,40.119830919094
